# H0=6.9330e+01 Om0=2.8800e-01 Ob0=4.7200e-02 Ol0=7.1200e-01 | N=2000
# redshift scafa dcom[Mpc] vcom[Mpc3] tlook[Myr] efunc
6.86148644e-05 9.99931390e-01 2.96695716e-01 1.09401288e-01 9.67658802e-01 1.00002964e+00
6.92500689e-05 9.99930755e-01 2.99442346e-01 1.12467815e-01 9.76616494e-01 1.00002992e+00
6.98911540e-05 9.99930114e-01 3.02214402e-01 1.15620297e-01 9.85657104e-01 1.00003019e+00
7.05381739e-05 9.99929467e-01 3.05012121e-01 1.18861143e-01 9.94781400e-01 1.00003047e+00
7.11911835e-05 9.99928814e-01 3.07835738e-01 1.22192830e-01 1.00399015e+00 1.00003076e+00
7.18502385e-05 9.99928155e-01 3.10685494e-01 1.25617903e-01 1.01328415e+00 1.00003104e+00
7.25153947e-05 9.99927490e-01 3.13561631e-01 1.29138981e-01 1.02266418e+00 1.00003133e+00
7.31867086e-05 9.99926819e-01 3.16464394e-01 1.32758754e-01 1.03213103e+00 1.00003162e+00
7.38642372e-05 9.99926141e-01 3.19394027e-01 1.36479990e-01 1.04168552e+00 1.00003191e+00
7.45480380e-05 9.99925458e-01 3.22350782e-01 1.40305531e-01 1.05132845e+00 1.00003221e+00
7.52381692e-05 9.99924767e-01 3.25334907e-01 1.44238302e-01 1.06106063e+00 1.00003250e+00
7.59346893e-05 9.99924071e-01 3.28346657e-01 1.48281308e-01 1.07088291e+00 1.00003281e+00
7.66376574e-05 9.99923368e-01 3.31386288e-01 1.52437639e-01 1.08079610e+00 1.00003311e+00
7.73471333e-05 9.99922659e-01 3.34454057e-01 1.56710471e-01 1.09080105e+00 1.00003342e+00
7.80631772e-05 9.99921943e-01 3.37550226e-01 1.61103070e-01 1.10089862e+00 1.00003373e+00
7.87858499e-05 9.99921220e-01 3.40675056e-01 1.65618794e-01 1.11108965e+00 1.00003404e+00
7.95152127e-05 9.99920491e-01 3.43828813e-01 1.70261092e-01 1.12137502e+00 1.00003435e+00
8.02513277e-05 9.99919755e-01 3.47011766e-01 1.75033514e-01 1.13175559e+00 1.00003467e+00
8.09942573e-05 9.99919012e-01 3.50224184e-01 1.79939705e-01 1.14223226e+00 1.00003499e+00
8.17440645e-05 9.99918263e-01 3.53466340e-01 1.84983417e-01 1.15280589e+00 1.00003532e+00
8.25008132e-05 9.99917506e-01 3.56738509e-01 1.90168502e-01 1.16347740e+00 1.00003564e+00
8.32645674e-05 9.99916742e-01 3.60040969e-01 1.95498925e-01 1.17424770e+00 1.00003597e+00
8.40353922e-05 9.99915972e-01 3.63374001e-01 2.00978759e-01 1.18511768e+00 1.00003631e+00
8.48133528e-05 9.99915194e-01 3.66737887e-01 2.06612192e-01 1.19608829e+00 1.00003664e+00
8.55985155e-05 9.99914409e-01 3.70132914e-01 2.12403528e-01 1.20716044e+00 1.00003698e+00
8.63909469e-05 9.99913617e-01 3.73559368e-01 2.18357195e-01 1.21833508e+00 1.00003732e+00
8.71907142e-05 9.99912817e-01 3.77017543e-01 2.24477742e-01 1.22961316e+00 1.00003767e+00
8.79978854e-05 9.99912010e-01 3.80507730e-01 2.30769846e-01 1.24099563e+00 1.00003802e+00
8.88125290e-05 9.99911195e-01 3.84030226e-01 2.37238317e-01 1.25248346e+00 1.00003837e+00
8.96347142e-05 9.99910373e-01 3.87585331e-01 2.43888097e-01 1.26407763e+00 1.00003872e+00
9.04645108e-05 9.99909544e-01 3.91173346e-01 2.50724270e-01 1.27577911e+00 1.00003908e+00
